0,1.631709,0.843900
1,0.901363,0.873400
2,0.560337,0.879600
3,0.452906,0.879300
4,0.464275,0.861700
5,0.411844,0.868800
6,0.401647,0.872000
7,0.416449,0.864600
8,0.403788,0.872100
9,0.393813,0.873300
10,0.412528,0.864200
11,0.547610,0.816300
12,0.481914,0.847200
13,0.454950,0.854400
14,0.445979,0.857700
15,0.505433,0.837700
16,0.547565,0.826100
17,0.653260,0.794100
18,1.199615,0.684700
19,1.154094,0.739400
20,1.219855,0.709100
21,1.328806,0.682500
22,1.404963,0.649800
23,1.479909,0.610300
24,1.655318,0.498500
25,1.794928,0.407700
26,1.863589,0.365800
27,2.019577,0.245000
28,2.120418,0.174000
29,1.181393,0.793100
30,0.936446,0.837100
31,0.830979,0.838200
32,0.726048,0.853500
33,0.623773,0.871400
34,0.567314,0.876500
35,0.532328,0.877200
36,0.501108,0.880200
37,0.495311,0.878200
38,0.510179,0.874200
39,0.492402,0.877200
40,0.471533,0.880300
41,0.449688,0.884300
42,0.438886,0.883300
43,0.434813,0.883000
44,0.431296,0.883200
45,0.428804,0.883200
46,0.426194,0.883700
47,0.424880,0.885100
48,0.423838,0.885000
49,0.423070,0.885400
50,0.421486,0.884500
51,0.419671,0.884600
52,0.419247,0.884600
53,0.419032,0.884100
54,0.419582,0.884000
55,0.419897,0.883800
56,0.419036,0.883400
57,0.417232,0.885100
58,0.417240,0.885000
59,0.417563,0.884900
